model,path,dice
SAM-vit_h,liver_65.nii.gz,0.7293937421939103
SAM-vit_h,liver_66.nii.gz,0.9018953419375006
SAM-vit_h,liver_67.nii.gz,0.8837309356007426
SAM-vit_h,liver_68.nii.gz,0.6964776935185788
SAM-vit_h,liver_69.nii.gz,0.9457387151086868
SAM-vit_h,liver_7.nii.gz,0.9268929773063571
SAM-vit_h,liver_70.nii.gz,0.8018048077352801
SAM-vit_h,liver_71.nii.gz,0.8680430257595346
SAM-vit_h,liver_72.nii.gz,0.886359676439099
SAM-vit_h,liver_73.nii.gz,0.9120026586840336
SAM-vit_h,liver_74.nii.gz,0.8494915759452081
SAM-vit_h,liver_75.nii.gz,0.8873734326359933
SAM-vit_h,liver_76.nii.gz,0.8548179471337499
SAM-vit_h,liver_77.nii.gz,0.9308938990131815
SAM-vit_h,liver_78.nii.gz,0.8793866770510086
SAM-vit_h,liver_79.nii.gz,0.9130937051302505
SAM-vit_h,liver_8.nii.gz,0.9294124806477296
SAM-vit_h,liver_80.nii.gz,0.8799984612598115
SAM-vit_h,liver_81.nii.gz,0.7899432054395868
SAM-vit_h,liver_82.nii.gz,0.7733464218087011
SAM-vit_h,liver_83.nii.gz,0.7584213866618312
SAM-vit_h,liver_84.nii.gz,0.8450465142394095
SAM-vit_h,liver_85.nii.gz,0.8310877259667838
SAM-vit_h,liver_86.nii.gz,0.9087089222343513
SAM-vit_h,liver_87.nii.gz,0.913307490355828
SAM-vit_h,liver_88.nii.gz,0.8690326502162806
SAM-vit_h,liver_89.nii.gz,0.8644754196023534
SAM-vit_h,liver_9.nii.gz,0.8998554083787463
SAM-vit_h,liver_90.nii.gz,0.8300690789941793
SAM-vit_h,liver_91.nii.gz,0.9227214492203774
SAM-vit_h,liver_92.nii.gz,0.8262059098032453
SAM-vit_h,liver_93.nii.gz,0.8213407432649388
SAM-vit_h,liver_94.nii.gz,0.8982100222584457
SAM-vit_h,liver_95.nii.gz,0.7822462591323526
SAM-vit_h,liver_96.nii.gz,0.9014075036461539
SAM-vit_h,liver_97.nii.gz,0.8397931758058506
SAM-vit_h,liver_98.nii.gz,0.798340701446177
SAM-vit_h,liver_99.nii.gz,0.9379159803270248
MedSAM-vit_b,liver_0.nii.gz,0.8828290253776787
MedSAM-vit_b,liver_1.nii.gz,0.865148909891896
MedSAM-vit_b,liver_10.nii.gz,0.7658495681993808
MedSAM-vit_b,liver_100.nii.gz,0.7603715042011777
MedSAM-vit_b,liver_101.nii.gz,0.8165635159000664
MedSAM-vit_b,liver_102.nii.gz,0.8087624380698614
MedSAM-vit_b,liver_103.nii.gz,0.7970546723254948
MedSAM-vit_b,liver_104.nii.gz,0.6098556747355108
MedSAM-vit_b,liver_105.nii.gz,0.8631857122668052
MedSAM-vit_b,liver_106.nii.gz,0.49922251767537495
MedSAM-vit_b,liver_107.nii.gz,0.6527025601350401
MedSAM-vit_b,liver_108.nii.gz,0.5196757285338856
MedSAM-vit_b,liver_109.nii.gz,0.7924525102888016
MedSAM-vit_b,liver_11.nii.gz,0.8505158721291944
MedSAM-vit_b,liver_110.nii.gz,0.5588090955594157
MedSAM-vit_b,liver_111.nii.gz,0.8052845531506472
MedSAM-vit_b,liver_112.nii.gz,0.38470484464954824
MedSAM-vit_b,liver_113.nii.gz,0.6840882528855532
MedSAM-vit_b,liver_114.nii.gz,0.6951477926005215
MedSAM-vit_b,liver_115.nii.gz,0.49994233519826126
MedSAM-vit_b,liver_116.nii.gz,0.8493878994682477
MedSAM-vit_b,liver_117.nii.gz,0.4124583810557758
MedSAM-vit_b,liver_118.nii.gz,0.8371471397900013
MedSAM-vit_b,liver_119.nii.gz,0.8916825707133477
MedSAM-vit_b,liver_12.nii.gz,0.8578114986839313
MedSAM-vit_b,liver_120.nii.gz,0.7744589488104956
MedSAM-vit_b,liver_121.nii.gz,0.9244942176498004
MedSAM-vit_b,liver_122.nii.gz,0.7021448995047085
MedSAM-vit_b,liver_123.nii.gz,0.7839094974071301
MedSAM-vit_b,liver_124.nii.gz,0.868543068935623
MedSAM-vit_b,liver_125.nii.gz,0.817635306769615
MedSAM-vit_b,liver_126.nii.gz,0.754036932779189
MedSAM-vit_b,liver_127.nii.gz,0.8475809030950077
MedSAM-vit_b,liver_128.nii.gz,0.7335920905023509
MedSAM-vit_b,liver_129.nii.gz,0.6573804899154584
MedSAM-vit_b,liver_13.nii.gz,0.9349106082186938
