model,path,slice_idx,spleen_dice,rkidney_dice,lkidney_dice,liver_dice,aorta_dice
SAM-vit_h,img0001.nii.gz,36,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,37,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,38,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,39,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,40,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,41,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,42,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,43,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,44,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,45,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,46,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,47,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,48,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,49,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,50,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,51,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,52,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,53,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,54,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,55,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,56,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,57,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,58,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,59,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,60,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,61,nan,nan,nan,nan,nan
SAM-vit_h,img0001.nii.gz,62,nan,nan,nan,0.9131578947368421,nan
SAM-vit_h,img0001.nii.gz,63,nan,nan,nan,0.956769596199525,nan
SAM-vit_h,img0001.nii.gz,64,nan,nan,nan,0.9265785609397944,nan
SAM-vit_h,img0001.nii.gz,65,nan,nan,nan,0.9438576987215119,nan
SAM-vit_h,img0001.nii.gz,66,nan,nan,nan,0.9477234401349073,nan
