model,path,spleen_dice,rkidney_dice,lkidney_dice,liver_dice,aorta_dice
SAM-vit_h,img0001.nii.gz,0.9277492473879936,0.9458013432665916,0.9378113852775567,0.8884859710498014,0.8770856376344339
SAM-vit_h,img0002.nii.gz,0.6787797579168342,0.9081666010634394,0.9080808557867145,0.8449800425213846,0.850060618839281
SAM-vit_h,img0007.nii.gz,0.9528949971195599,0.8113727714349124,0.7879926882745918,0.826558476380806,0.6035117922979844
SAM-vit_h,img0021.nii.gz,0.8071943972835314,0.52353015193935,0.4066702899488427,0.8444834722299905,0.7625121568040697
SAM-vit_h,img0027.nii.gz,0.8246524787796777,0.9083157726359128,0.905703237875713,0.8385946604052527,0.8825418634607127
SAM-vit_h,img0028.nii.gz,0.8641843722033966,0.8535124791784254,0.8184446102200671,0.7364432440593519,0.8404149847744494
SAM-vit_h,img0029.nii.gz,0.09884833204525587,0.7136655890152203,0.5031806872436285,0.06915318510195662,0.38199860851733863
SAM-vit_h,img0030.nii.gz,0.8773107475406386,0.480194898251648,0.6148840896050352,0.7518772342936638,0.6296547054840894
SAM-vit_h,img0033.nii.gz,0.9139198417169316,0.8946292781972848,0.898952393581753,0.7350344560374173,0.6724347836365141
SAM-vit_h,img0034.nii.gz,0.9452891654726517,0.9106698362441524,0.8815681213196741,0.8272263939658286,0.7351573867064126
SAM-vit_h,img0040.nii.gz,0.8784425900096925,0.5912392556326999,0.5029556946383366,0.6977864194008886,0.5018368846436444
MedSAM-vit_b,img0001.nii.gz,0.949321395425015,0.939425754941512,0.9245106481326161,0.9342164720070659,0.9128033948260862
MedSAM-vit_b,img0002.nii.gz,0.6155170427203286,0.9341433744878983,0.9062362073125518,0.7115404361423547,0.7097454597454598
MedSAM-vit_b,img0007.nii.gz,0.9634186017256113,0.8429694993286015,0.8042644629709936,0.8907529349617931,0.5721803572172031
MedSAM-vit_b,img0021.nii.gz,0.9102581739808319,0.5259834676220849,0.4003473277471454,0.8602945420265876,0.7222797460946293
MedSAM-vit_b,img0027.nii.gz,0.6713171211695249,0.8326616360830046,0.8353719441306021,0.8634201035031175,0.7213763263624189
MedSAM-vit_b,img0028.nii.gz,0.8334145492516534,0.8354820355541986,0.7670734796668007,0.7706146224194588,0.751383623131564
MedSAM-vit_b,img0029.nii.gz,0.09829432664466614,0.7535552148161511,0.4984756927432087,0.06961767965533186,0.3863440269825084
MedSAM-vit_b,img0030.nii.gz,0.9538912601220632,0.46024077998156876,0.7296430025790688,0.8393041338395952,0.6470825578217126
MedSAM-vit_b,img0033.nii.gz,0.7796184763279921,0.8393942654257894,0.8115436423719122,0.7180773686004559,0.5612128902635684
MedSAM-vit_b,img0034.nii.gz,0.9535989357762107,0.9263036631507747,0.9191834146128108,0.9004053406687229,0.788571577874742
MedSAM-vit_b,img0040.nii.gz,0.8807227382618654,0.5994407231579632,0.5208397351733386,0.7119515349988652,0.3922136347008507
