model,path,dice
SAM-vit_h,spleen_10.nii.gz,0.8846092816996685
SAM-vit_h,spleen_12.nii.gz,0.9162876554949807
SAM-vit_h,spleen_13.nii.gz,0.9415547666821011
SAM-vit_h,spleen_14.nii.gz,0.8847683727174697
SAM-vit_h,spleen_16.nii.gz,0.8721899385688195
SAM-vit_h,spleen_17.nii.gz,0.9413228649729649
SAM-vit_h,spleen_18.nii.gz,0.8829002227261333
SAM-vit_h,spleen_19.nii.gz,0.9193369955891499
SAM-vit_h,spleen_2.nii.gz,0.9062585277262847
SAM-vit_h,spleen_20.nii.gz,0.9077816105130423
SAM-vit_h,spleen_21.nii.gz,0.9381230954441142
SAM-vit_h,spleen_22.nii.gz,0.9366941198266674
SAM-vit_h,spleen_24.nii.gz,0.8139758941386972
SAM-vit_h,spleen_25.nii.gz,0.9185614218030966
SAM-vit_h,spleen_26.nii.gz,0.9236690590740595
SAM-vit_h,spleen_27.nii.gz,0.7931896282411747
SAM-vit_h,spleen_28.nii.gz,0.9089328730722428
SAM-vit_h,spleen_29.nii.gz,0.916010498687664
SAM-vit_h,spleen_3.nii.gz,0.8742663145982648
SAM-vit_h,spleen_31.nii.gz,0.8970513796155052
SAM-vit_h,spleen_32.nii.gz,0.808598496448576
SAM-vit_h,spleen_33.nii.gz,0.9280314178056747
SAM-vit_h,spleen_38.nii.gz,0.8513519883105253
SAM-vit_h,spleen_40.nii.gz,0.8805635133937801
SAM-vit_h,spleen_41.nii.gz,0.8626665293550411
SAM-vit_h,spleen_44.nii.gz,0.7165940361357294
SAM-vit_h,spleen_45.nii.gz,0.8279607804892687
SAM-vit_h,spleen_46.nii.gz,0.8855215698658391
SAM-vit_h,spleen_47.nii.gz,0.8834150923703162
SAM-vit_h,spleen_49.nii.gz,0.9234581473387443
SAM-vit_h,spleen_52.nii.gz,0.9011021102618146
SAM-vit_h,spleen_53.nii.gz,0.8564147015461664
SAM-vit_h,spleen_56.nii.gz,0.8621858606518569
SAM-vit_h,spleen_59.nii.gz,0.8806100691670173
SAM-vit_h,spleen_6.nii.gz,0.9175699640859442
SAM-vit_h,spleen_60.nii.gz,0.8739749537668011
SAM-vit_h,spleen_61.nii.gz,0.8929176245367454
SAM-vit_h,spleen_62.nii.gz,0.7831288283400122
SAM-vit_h,spleen_63.nii.gz,0.9086723668138683
SAM-vit_h,spleen_8.nii.gz,0.9293835563461985
SAM-vit_h,spleen_9.nii.gz,0.9183778842009028
MedSAM-vit_b,spleen_10.nii.gz,0.7968683111521229
MedSAM-vit_b,spleen_12.nii.gz,0.8305435959434777
MedSAM-vit_b,spleen_13.nii.gz,0.9511555719160706
MedSAM-vit_b,spleen_14.nii.gz,0.9421786017205864
MedSAM-vit_b,spleen_16.nii.gz,0.8191768115942029
MedSAM-vit_b,spleen_17.nii.gz,0.8496629213483146
MedSAM-vit_b,spleen_18.nii.gz,0.780399869910641
MedSAM-vit_b,spleen_19.nii.gz,0.9590312815338042
MedSAM-vit_b,spleen_2.nii.gz,0.9239964688165343
MedSAM-vit_b,spleen_20.nii.gz,0.8575045284827989
MedSAM-vit_b,spleen_21.nii.gz,0.8566842656674976
MedSAM-vit_b,spleen_22.nii.gz,0.9071305489455977
MedSAM-vit_b,spleen_24.nii.gz,0.7565504836906325
MedSAM-vit_b,spleen_25.nii.gz,0.890405264537914
MedSAM-vit_b,spleen_26.nii.gz,0.9403281321707205
MedSAM-vit_b,spleen_27.nii.gz,0.8174341295247476
MedSAM-vit_b,spleen_28.nii.gz,0.9261035920278682
MedSAM-vit_b,spleen_29.nii.gz,0.9260485986609539
MedSAM-vit_b,spleen_3.nii.gz,0.9383938012446047
MedSAM-vit_b,spleen_31.nii.gz,0.9361800062907074
MedSAM-vit_b,spleen_32.nii.gz,0.7123158109691218
MedSAM-vit_b,spleen_33.nii.gz,0.9274627179164041
MedSAM-vit_b,spleen_38.nii.gz,0.8745714938676011
MedSAM-vit_b,spleen_40.nii.gz,0.9379473129610116
MedSAM-vit_b,spleen_41.nii.gz,0.9127109438864066
MedSAM-vit_b,spleen_44.nii.gz,0.7958919644140618
MedSAM-vit_b,spleen_45.nii.gz,0.5705901332063238
MedSAM-vit_b,spleen_46.nii.gz,0.8434508637005109
MedSAM-vit_b,spleen_47.nii.gz,0.9265196552586104
MedSAM-vit_b,spleen_49.nii.gz,0.8135159475779662
MedSAM-vit_b,spleen_52.nii.gz,0.8825839993680749
MedSAM-vit_b,spleen_53.nii.gz,0.897912072767365
MedSAM-vit_b,spleen_56.nii.gz,0.9117157904462718
MedSAM-vit_b,spleen_59.nii.gz,0.8189543951652921
MedSAM-vit_b,spleen_6.nii.gz,0.894846114239208
MedSAM-vit_b,spleen_60.nii.gz,0.9027147830758082
MedSAM-vit_b,spleen_61.nii.gz,0.9274161946492822
MedSAM-vit_b,spleen_62.nii.gz,0.7150003491786949
MedSAM-vit_b,spleen_63.nii.gz,0.937288650399919
MedSAM-vit_b,spleen_8.nii.gz,0.9682504399370195
MedSAM-vit_b,spleen_9.nii.gz,0.8740000107742947
